season;round;date;time;location;team1;team2;result1;result2;attendance
1993-1994;19.0;1994.03.26;15:00;Kórház utcai Stadion;Békéscsabai Előre FC;Budapesti VSC-Dreher;3.0;0.0;7000.0
1993-1994;19.0;1994.03.26;16:00;Révész Géza utcai Stadion;Siófoki Bányász FC;ETO FC Győr;1.0;3.0;3000.0
1993-1994;19.0;1994.03.26;18:00;Fáy utcai Stadion;Vasas SC;Ferencvárosi TC;0.0;1.0;12000.0
1993-1994;19.0;1994.03.26;18:00;Rohonci úti Stadion;Haladás VSE;Debreceni Vasutas SC;0.0;0.0;6000.0
1993-1994;19.0;1994.03.27;11:00;Hungária körúti Stadion;MTK;Csepel-Kordax;0.0;1.0;2000.0
1993-1994;18.0;1994.03.19;11:00;Ligeti Stadion;Vác FC-Samsung;Békéscsabai Előre FC;1.0;2.0;3000.0
1993-1994;18.0;1994.03.19;15:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Budapesti VSC-Dreher;1.0;1.0;5000.0
1993-1994;18.0;1994.03.19;15:00;PMSC Stadion;Pécsi MSC-Fordan;Siófoki Bányász FC;1.0;0.0;4000.0
1993-1994;18.0;1994.03.19;16:00;Megyeri úti Stadion;Újpesti TE;MTK;2.0;1.0;3000.0
1993-1994;18.0;1994.03.19;17:00;Győri ETO Stadion;ETO FC Győr;Kispest-Honvéd FC;5.0;1.0;8000.0
1993-1994;18.0;1994.03.19;17:00;Sóstói Stadion;Parmalat FC;Haladás VSE;1.0;1.0;3000.0
1993-1994;18.0;1994.03.19;18:00;Üllői úti Stadion;Ferencvárosi TC;EMDSZ-Soproni LC;1.0;0.0;10000.0
1993-1994;18.0;1994.03.21;18:00;Béke téri Stadion;Csepel-Kordax;Vasas SC;2.0;0.0;2000.0
1993-1994;17.0;1994.03.12;17:00;Fáy utcai Stadion;Vasas SC;Újpesti TE;1.0;1.0;10000.0
1993-1994;17.0;1994.03.13;11:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Békéscsabai Előre FC;0.0;2.0;5000.0
1993-1994;17.0;1994.03.13;14:30;Hungária körúti Stadion;MTK;ETO FC Győr;2.0;1.0;3000.0
1993-1994;17.0;1994.03.13;14:30;Bozsik Stadion;Kispest-Honvéd FC;Pécsi MSC-Fordan;1.0;0.0;4000.0
1993-1994;17.0;1994.03.13;14:30;Káposztás utcai stadion;EMDSZ-Soproni LC;Csepel-Kordax;0.0;1.0;6000.0
1993-1994;17.0;1994.03.13;14:30;Révész Géza utcai Stadion;Siófoki Bányász FC;Vác FC-Samsung;0.0;1.0;4000.0
1993-1994;17.0;1994.03.13;18:00;Rohonci úti Stadion;Haladás VSE;Ferencvárosi TC;1.0;1.0;18000.0
1993-1994;17.0;1994.03.14;14:30;Szőnyi úti Stadion;Budapesti VSC-Dreher;Parmalat FC;3.0;0.0;5000.0
1993-1994;16.0;1994.03.05;11:00;Ligeti Stadion;Vác FC-Samsung;Kispest-Honvéd FC;2.0;4.0;4000.0
1993-1994;16.0;1994.03.05;14:30;PMSC Stadion;Pécsi MSC-Fordan;MTK;2.0;3.0;5000.0
1993-1994;16.0;1994.03.05;14:30;Kórház utcai Stadion;Békéscsabai Előre FC;Siófoki Bányász FC;1.0;1.0;5000.0
1993-1994;16.0;1994.03.05;16:00;Megyeri úti Stadion;Újpesti TE;EMDSZ-Soproni LC;0.0;0.0;4000.0
1993-1994;16.0;1994.03.05;16:00;Béke téri Stadion;Csepel-Kordax;Haladás VSE;2.0;0.0;1500.0
1993-1994;16.0;1994.03.05;16:00;Sóstói Stadion;Parmalat FC;Debreceni Vasutas SC;2.0;1.0;4000.0
1993-1994;16.0;1994.03.05;17:00;Győri ETO Stadion;ETO FC Győr;Vasas SC;3.0;2.0;7000.0
1993-1994;16.0;1994.03.05;17:00;Üllői úti Stadion;Ferencvárosi TC;Budapesti VSC-Dreher;4.0;2.0;12000.0
1993-1994;15.0;1993.11.20;11:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Kispest-Honvéd FC;2.0;2.0;1000.0
1993-1994;15.0;1993.11.20;13:00;PMSC Stadion;Pécsi MSC-Fordan;Vasas SC;0.0;0.0;1000.0
1993-1994;15.0;1993.11.20;13:00;Béke téri Stadion;Csepel-Kordax;Budapesti VSC-Dreher;2.0;0.0;400.0
1993-1994;15.0;1993.11.20;13:00;Bessenyei utcai pálya;Békéscsabai Előre FC;Videoton-Waltham FC;5.0;0.0;3500.0
1993-1994;15.0;1993.11.20;13:00;Ligeti Stadion;Vác FC-Samsung;MTK;4.0;0.0;1500.0
1993-1994;15.0;1993.11.20;16:00;Győri ETO Stadion;Rába ETO FC;EMDSZ-Soproni LC;2.0;1.0;6000.0
1993-1994;15.0;1993.11.20;16:00;Megyeri úti Stadion;Újpesti TE;Haladás VSE;4.0;0.0;1000.0
1993-1994;15.0;1993.12.01;15:30;Üllői úti Stadion;Ferencvárosi TC;Debreceni Vasutas SC;1.0;0.0;5000.0
1993-1994;14.0;1993.11.12;17:00;Rohonci úti Stadion;Haladás VSE;Rába ETO FC;1.0;2.0;5000.0
1993-1994;14.0;1993.11.13;13:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Pécsi MSC-Fordan;2.0;1.0;3000.0
1993-1994;14.0;1993.11.13;13:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Csepel-Kordax;1.0;1.0;6500.0
1993-1994;14.0;1993.11.26;16:00;Fáy utcai Stadion;Vasas SC;Vác FC-Samsung;1.0;1.0;3500.0
1993-1994;14.0;1993.11.27;11:00;Sóstói Stadion;Videoton-Waltham FC;Ferencvárosi TC;3.0;1.0;5000.0
1993-1994;14.0;1993.11.27;13:00;Hungária körúti Stadion;MTK;Siófoki Bányász FC;2.0;0.0;1000.0
1993-1994;14.0;1993.11.27;13:00;Bozsik Stadion;Kispest-Honvéd FC;Békéscsabai Előre FC;0.0;2.0;4500.0
1993-1994;14.0;1993.12.01;13:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Újpesti TE;2.0;3.0;1000.0
1993-1994;13.0;1993.11.06;13:00;PMSC Stadion;Pécsi MSC-Fordan;Haladás VSE;2.0;0.0;3000.0
1993-1994;13.0;1993.11.06;13:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Vasas SC;2.0;1.0;3000.0
1993-1994;13.0;1993.11.06;13:00;Kórház utcai Stadion;Békéscsabai Előre FC;Ferencvárosi TC;1.0;0.0;15000.0
1993-1994;13.0;1993.11.06;15:30;Béke téri Stadion;Csepel-Kordax;Videoton-Waltham FC;2.0;1.0;1500.0
1993-1994;13.0;1993.11.06;15:30;Megyeri úti Stadion;Újpesti TE;Debreceni Vasutas SC;3.0;3.0;3000.0
1993-1994;13.0;1993.11.06;17:00;Győri ETO Stadion;Rába ETO FC;Budapesti VSC-Dreher;5.0;1.0;3000.0
1993-1994;13.0;1993.11.07;13:00;Ligeti Stadion;Vác FC-Samsung;EMDSZ-Soproni LC;7.0;0.0;4000.0
1993-1994;13.0;1993.11.08;19:00;Bozsik Stadion;Kispest-Honvéd FC;MTK;3.0;1.0;3000.0
1993-1994;12.0;1993.10.29;17:00;Hungária körúti Stadion;MTK;Békéscsabai Előre FC;0.0;3.0;2500.0
1993-1994;12.0;1993.10.29;17:00;Rohonci úti Stadion;Haladás VSE;Vác FC-Samsung;1.0;3.0;6000.0
1993-1994;12.0;1993.10.30;13:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Rába ETO FC;1.0;0.0;7000.0
1993-1994;12.0;1993.10.30;13:30;Káposztás utcai Pálya;EMDSZ-Soproni LC;Siófoki Bányász FC;6.0;1.0;4500.0
1993-1994;12.0;1993.10.30;16:00;Sóstói Stadion;Videoton-Waltham FC;Újpesti TE;1.0;0.0;5000.0
1993-1994;12.0;1993.10.30;17:00;Üllői úti Stadion;Ferencvárosi TC;Csepel-Kordax;3.0;0.0;11000.0
1993-1994;12.0;1993.10.31;13:30;Szőnyi úti Stadion;Budapesti VSC-Dreher;Pécsi MSC-Fordan;1.0;1.0;1000.0
1993-1994;12.0;1993.11.01;19:30;Fáy utcai Stadion;Vasas SC;Kispest-Honvéd FC;1.0;2.0;3000.0
1993-1994;11.0;1993.10.22;17:00;Megyeri úti Stadion;Újpesti TE;Ferencvárosi TC;1.0;0.0;15000.0
1993-1994;11.0;1993.10.23;11:00;Győri ETO Stadion;Rába ETO FC;Videoton-Waltham FC;1.0;1.0;3000.0
1993-1994;11.0;1993.10.23;13:30;PMSC Stadion;Pécsi MSC-Fordan;Debreceni Vasutas SC;2.0;1.0;5000.0
1993-1994;11.0;1993.10.23;13:30;Kórház utcai Stadion;Békéscsabai Előre FC;Csepel-Kordax;6.0;1.0;7000.0
1993-1994;11.0;1993.10.23;13:30;Hungária körúti Stadion;MTK;Vasas SC;0.0;3.0;3000.0
1993-1994;11.0;1993.10.23;13:30;Bozsik Stadion;Kispest-Honvéd FC;EMDSZ-Soproni LC;3.0;1.0;5000.0
1993-1994;11.0;1993.10.23;13:30;Ligeti Stadion;Vác FC-Samsung;Budapesti VSC-Dreher;3.0;2.0;4000.0
1993-1994;11.0;1993.10.23;16:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Haladás VSE;1.0;1.0;2500.0
1993-1994;10.0;1993.10.16;11:00;Üllői úti Stadion;Ferencvárosi TC;Rába ETO FC;2.0;1.0;9000.0
1993-1994;10.0;1993.10.16;13:30;Káposztás utcai Pálya;EMDSZ-Soproni LC;MTK;1.0;1.0;4500.0
1993-1994;10.0;1993.10.16;13:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Vác FC-Samsung;0.0;1.0;8000.0
1993-1994;10.0;1993.10.16;17:00;Fáy utcai Stadion;Vasas SC;Békéscsabai Előre FC;1.0;0.0;3500.0
1993-1994;10.0;1993.10.16;17:00;Sóstói Stadion;Videoton-Waltham FC;Pécsi MSC-Fordan;1.0;0.0;3000.0
1993-1994;10.0;1993.10.16;17:00;Béke téri Stadion;Csepel-Kordax;Újpesti TE;1.0;0.0;6500.0
1993-1994;10.0;1993.10.16;18:00;Rohonci úti Stadion;Haladás VSE;Kispest-Honvéd FC;1.0;1.0;7000.0
1993-1994;10.0;1993.10.17;13:30;Szőnyi úti Stadion;Budapesti VSC-Dreher;Siófoki Bányász FC;0.0;0.0;800.0
1993-1994;9.0;1993.10.09;11:00;Ligeti Stadion;Vác FC-Samsung;Videoton-Waltham FC;4.0;0.0;2000.0
1993-1994;9.0;1993.10.09;14:00;PMSC Stadion;Pécsi MSC-Fordan;Ferencvárosi TC;0.0;0.0;15000.0
1993-1994;9.0;1993.10.09;14:00;Kórház utcai Stadion;Békéscsabai Előre FC;Újpesti TE;2.0;2.0;8000.0
1993-1994;9.0;1993.10.09;14:00;Fáy utcai Stadion;Vasas SC;EMDSZ-Soproni LC;1.0;2.0;3500.0
1993-1994;9.0;1993.10.09;17:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Debreceni Vasutas SC;1.0;0.0;4500.0
1993-1994;9.0;1993.10.09;18:00;Győri ETO Stadion;Rába ETO FC;Csepel-Kordax;0.0;0.0;6000.0
1993-1994;9.0;1993.10.09;18:00;Bozsik Stadion;Kispest-Honvéd FC;Budapesti VSC-Dreher;0.0;0.0;3000.0
1993-1994;9.0;1993.10.10;11:00;Hungária körúti Stadion;MTK;Haladás VSE;3.0;2.0;2000.0
1993-1994;8.0;1993.10.01;18:00;Rohonci úti Stadion;Haladás VSE;Vasas SC;3.0;2.0;4500.0
1993-1994;8.0;1993.10.02;14:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Békéscsabai Előre FC;2.0;3.0;4500.0
1993-1994;8.0;1993.10.02;17:00;Béke téri Stadion;Csepel-Kordax;Pécsi MSC-Fordan;2.0;1.0;2200.0
1993-1994;8.0;1993.10.02;18:00;Megyeri úti Stadion;Újpesti TE;Rába ETO FC;0.0;2.0;2000.0
1993-1994;8.0;1993.10.02;18:00;Sóstói Stadion;Videoton-Waltham FC;Siófoki Bányász FC;2.0;2.0;4000.0
1993-1994;8.0;1993.10.03;14:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;MTK;3.0;2.0;500.0
1993-1994;8.0;1993.10.03;14:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Kispest-Honvéd FC;2.0;1.0;8000.0
1993-1994;8.0;1993.10.04;19:30;Üllői úti Stadion;Ferencvárosi TC;Vác FC-Samsung;0.0;0.0;4000.0
1993-1994;7.0;1993.09.24;16:00;Ligeti Stadion;Vác FC-Samsung;Csepel-Kordax;3.0;1.0;2000.0
1993-1994;7.0;1993.09.24;16:00;Fáy utcai Stadion;Vasas SC;Budapesti VSC-Dreher;5.0;1.0;3500.0
1993-1994;7.0;1993.09.25;11:00;Bozsik Stadion;Kispest-Honvéd FC;Videoton-Waltham FC;1.0;1.0;2000.0
1993-1994;7.0;1993.09.25;16:00;Hungária körúti Stadion;MTK;Debreceni Vasutas SC;2.0;4.0;1500.0
1993-1994;7.0;1993.09.25;16:00;Kórház utcai Stadion;Békéscsabai Előre FC;Rába ETO FC;0.0;2.0;8000.0
1993-1994;7.0;1993.09.25;16:00;PMSC Stadion;Pécsi MSC-Fordan;Újpesti TE;1.0;1.0;4000.0
1993-1994;7.0;1993.09.25;16:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Haladás VSE;2.0;2.0;6000.0
1993-1994;7.0;1993.09.25;18:30;Révész Géza utcai Stadion;Siófoki Bányász FC;Ferencvárosi TC;2.0;4.0;10000.0
1993-1994;6.0;1993.09.17;19:00;Rohonci úti Stadion;Haladás VSE;Békéscsabai Előre FC;0.0;2.0;4500.0
1993-1994;6.0;1993.09.18;16:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Vasas SC;3.0;1.0;7000.0
1993-1994;6.0;1993.09.18;18:00;Megyeri úti Stadion;Újpesti TE;Vác FC-Samsung;3.0;0.0;7000.0
1993-1994;6.0;1993.09.18;18:00;Béke téri Stadion;Csepel-Kordax;Siófoki Bányász FC;2.0;2.0;2000.0
1993-1994;6.0;1993.09.18;19:00;Győri ETO Stadion;Rába ETO FC;Pécsi MSC-Fordan;1.0;2.0;7500.0
1993-1994;6.0;1993.09.19;15:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;EMDSZ-Soproni LC;0.0;0.0;2500.0
1993-1994;6.0;1993.09.19;15:00;Sóstói Stadion;Videoton-Waltham FC;MTK;1.0;1.0;3000.0
1993-1994;6.0;1993.09.20;19:30;Üllői úti Stadion;Ferencvárosi TC;Kispest-Honvéd FC;2.0;1.0;15000.0
1993-1994;5.0;1993.09.10;16:30;Ligeti Stadion;Vác FC-Samsung;Rába ETO FC;2.0;2.0;3000.0
1993-1994;5.0;1993.09.10;19:00;Rohonci úti Stadion;Haladás VSE;Budapesti VSC-Dreher;0.0;1.0;5000.0
1993-1994;5.0;1993.09.11;11:00;Hungária körúti Stadion;MTK;Ferencvárosi TC;1.0;1.0;8000.0
1993-1994;5.0;1993.09.11;15:00;Fáy utcai Stadion;Vasas SC;Videoton-Waltham FC;1.0;0.0;1200.0
1993-1994;5.0;1993.09.11;16:30;Kórház utcai Stadion;Békéscsabai Előre FC;Pécsi MSC-Fordan;5.0;0.0;7000.0
1993-1994;5.0;1993.09.11;16:30;Káposztás utcai stadion;EMDSZ-Soproni LC;Debreceni Vasutas SC;1.0;1.0;6000.0
1993-1994;5.0;1993.09.11;18:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Újpesti TE;1.0;0.0;5000.0
1993-1994;5.0;1993.09.11;19:00;Bozsik Stadion;Kispest-Honvéd FC;Csepel-Kordax;8.0;1.0;8000.0
1993-1994;4.0;1993.09.04;11:00;Megyeri úti Stadion;Újpesti TE;Kispest-Honvéd FC;2.0;4.0;2000.0
1993-1994;4.0;1993.09.04;16:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Haladás VSE;1.0;0.0;6000.0
1993-1994;4.0;1993.09.04;16:30;PMSC Stadion;Pécsi MSC-Fordan;Vác FC-Samsung;2.0;2.0;4000.0
1993-1994;4.0;1993.09.04;16:30;Szőnyi úti Stadion;Budapesti VSC-Dreher;Békéscsabai Előre FC;0.0;4.0;500.0
1993-1994;4.0;1993.09.04;19:00;Üllői úti Stadion;Ferencvárosi TC;Vasas SC;5.0;1.0;20000.0
1993-1994;4.0;1993.09.04;19:00;Sóstói Stadion;Videoton-Waltham FC;EMDSZ-Soproni LC;4.0;1.0;3000.0
1993-1994;4.0;1993.09.04;19:00;Béke téri Stadion;Csepel-Kordax;MTK;1.0;1.0;3000.0
1993-1994;4.0;1993.09.04;19:00;Győri ETO Stadion;Rába ETO FC;Siófoki Bányász FC;3.0;1.0;7000.0
1993-1994;3.0;1993.08.27;17:00;Fáy utcai Stadion;Vasas SC;Csepel-Kordax;0.0;2.0;3000.0
1993-1994;3.0;1993.08.28;17:00;Hungária körúti Stadion;MTK;Újpesti TE;0.0;2.0;5000.0
1993-1994;3.0;1993.08.28;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;Vác FC-Samsung;1.0;1.0;7000.0
1993-1994;3.0;1993.08.28;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Ferencvárosi TC;0.0;1.0;12000.0
1993-1994;3.0;1993.08.28;19:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Pécsi MSC-Fordan;2.0;0.0;4000.0
1993-1994;3.0;1993.08.28;19:00;Bozsik Stadion;Kispest-Honvéd FC;Rába ETO FC;2.0;0.0;4000.0
1993-1994;3.0;1993.08.29;17:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Debreceni Vasutas SC;1.0;2.0;2000.0
1993-1994;3.0;1993.08.30;19:30;Rohonci úti Stadion;Haladás VSE;Videoton-Waltham FC;2.0;1.0;6000.0
1993-1994;2.0;1993.08.20;19:00;Üllői úti Stadion;Ferencvárosi TC;Haladás VSE;2.0;1.0;20000.0
1993-1994;2.0;1993.08.21;11:00;Megyeri úti Stadion;Újpesti TE;Vasas SC;1.0;0.0;2000.0
1993-1994;2.0;1993.08.21;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;Debreceni Vasutas SC;1.0;2.0;6000.0
1993-1994;2.0;1993.08.21;17:00;PMSC Stadion;Pécsi MSC-Fordan;Kispest-Honvéd FC;1.0;4.0;5000.0
1993-1994;2.0;1993.08.21;19:00;Sóstói Stadion;Videoton-Waltham FC;Budapesti VSC-Dreher;1.0;1.0;3500.0
1993-1994;2.0;1993.08.21;19:00;Béke téri Stadion;Csepel-Kordax;EMDSZ-Soproni LC;3.0;1.0;3000.0
1993-1994;2.0;1993.08.22;17:00;Ligeti Stadion;Vác FC-Samsung;Siófoki Bányász SE;1.0;0.0;6000.0
1993-1994;2.0;1993.08.23;19:30;Győri ETO Stadion;Rába ETO FC;MTK;3.0;1.0;6000.0
1993-1994;1.0;1993.08.13;17:00;Fáy utcai Stadion;Vasas SC;Rába ETO FC;1.0;1.0;6000.0
1993-1994;1.0;1993.08.13;19:30;Rohonci úti Stadion;Haladás VSE;Csepel-Kordax;0.0;2.0;7000.0
1993-1994;1.0;1993.08.14;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Újpesti TE;2.0;0.0;9000.0
1993-1994;1.0;1993.08.14;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Videoton-Waltham FC;2.0;1.0;5500.0
1993-1994;1.0;1993.08.14;17:00;Hungária körúti Stadion;MTK;Pécsi MSC-Fordan;1.0;1.0;2500.0
1993-1994;1.0;1993.08.14;19:00;Népstadion;Budapesti VSC-Dreher;Ferencvárosi TC;1.0;5.0;20000.0
1993-1994;1.0;1993.08.14;19:00;Révész Géza utcai Stadion;Siófoki Bányász SE;Békéscsabai Előre FC;1.0;2.0;6000.0
1993-1994;1.0;1993.08.16;19:30;Bozsik Stadion;Kispest-Honvéd FC;Vác FC-Samsung;1.0;2.0;5000.0
1994-1995;30.0;1995.06.20;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;Pécsi MSC-Fordan;4.0;2.0;5000.0
1994-1995;30.0;1995.06.24;17:00;ZTE Stadion;Zalaegerszegi TE;EMDSZ-Soproni LC;3.0;1.0;5000.0
1994-1995;30.0;1995.06.24;17:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Vasas-Casino Vigadó;1.0;3.0;3000.0
1994-1995;30.0;1995.06.24;17:00;Bozsik Stadion;Kispest-Honvéd FC;Nagykanizsai Olajbányász SE;3.0;1.0;2000.0
1994-1995;30.0;1995.06.24;17:00;Győri ETO Stadion;Győri FC;Vác FC-Samsung;1.0;0.0;6000.0
1994-1995;30.0;1995.06.24;17:00;Megyeri úti Stadion;Újpesti TE-Novabau;Csepel-Kordax;0.0;0.0;3000.0
1994-1995;30.0;1995.06.24;17:00;Sóstói Stadion;Parmalat FC;Debreceni Vasutas SC;2.0;1.0;8000.0
1994-1995;30.0;1995.06.24;17:00;Stadler Stadion;Stadler FC;Ferencvárosi TC;1.0;1.0;22000.0
1994-1995;29.0;1995.06.17;17:00;Stadler Stadion;Stadler FC;EMDSZ-Soproni LC;4.0;0.0;2200.0
1994-1995;29.0;1995.06.17;17:00;PMSC Stadion;Pécsi MSC-Fordan;Budapesti VSC-Dreher;4.0;2.0;4000.0
1994-1995;29.0;1995.06.17;17:00;Béke téri Stadion;Csepel-Kordax;Békéscsabai Előre FC;1.0;1.0;1000.0
1994-1995;29.0;1995.06.17;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Kispest-Honvéd FC;2.0;1.0;8000.0
1994-1995;29.0;1995.06.17;17:00;Fáy utcai Stadion;Vasas-Casino Vigadó;Zalaegerszegi TE;1.0;0.0;4000.0
1994-1995;29.0;1995.06.17;17:00;Ligeti Stadion;Vác FC-Samsung;Újpesti TE-Novabau;2.0;0.0;7000.0
1994-1995;29.0;1995.06.17;17:00;Üllői úti Stadion;Ferencvárosi TC;Parmalat FC;2.0;3.0;10000.0
1994-1995;29.0;1995.06.17;17:00;Olajbányász Sporttelep;Nagykanizsai Olajbányász SE;Győri FC;1.0;0.0;2500.0
1994-1995;28.0;1995.06.03;17:00;ZTE Stadion;Zalaegerszegi TE;Pécsi MSC-Fordan;1.0;4.0;8000.0
1994-1995;28.0;1995.06.03;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;Vác FC-Samsung;0.0;0.0;6000.0
1994-1995;28.0;1995.06.03;17:00;Sóstói Stadion;Parmalat FC;EMDSZ-Soproni LC;5.0;0.0;6000.0
1994-1995;28.0;1995.06.03;17:00;Stadler Stadion;Stadler FC;Vasas-Casino Vigadó;1.0;1.0;4000.0
1994-1995;28.0;1995.06.03;17:00;Győri ETO Stadion;Győri FC;Kispest-Honvéd FC;1.0;1.0;8000.0
1994-1995;28.0;1995.06.03;17:00;Megyeri úti Stadion;Újpesti TE-Novabau;Nagykanizsai Olajbányász SE;1.0;0.0;4000.0
1994-1995;28.0;1995.06.03;17:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Csepel-Kordax;1.0;1.0;1000.0
1994-1995;28.0;1995.06.03;17:00;Üllői úti Stadion;Ferencvárosi TC;Debreceni Vasutas SC;3.0;3.0;15000.0
1994-1995;27.0;1995.05.27;17:00;PMSC Stadion;Pécsi MSC-Fordan;Stadler FC;0.0;1.0;2500.0
1994-1995;27.0;1995.05.27;17:00;Olajbányász Sporttelep;Nagykanizsai Olajbányász SE;Békéscsabai Előre FC;0.0;3.0;3500.0
1994-1995;27.0;1995.05.27;17:00;Ligeti Stadion;Vác FC-Samsung;Budapesti VSC-Dreher;0.0;2.0;2000.0
1994-1995;27.0;1995.05.27;17:00;Bozsik Stadion;Kispest-Honvéd FC;Újpesti TE-Novabau;4.0;0.0;8000.0
1994-1995;27.0;1995.05.27;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Ferencvárosi TC;1.0;1.0;12000.0
1994-1995;27.0;1995.05.27;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Győri FC;1.0;2.0;8000.0
1994-1995;27.0;1995.05.27;19:00;Béke téri Stadion;Csepel-Kordax;Zalaegerszegi TE;2.0;1.0;1500.0
1994-1995;27.0;1995.05.27;19:00;Fáy utcai Stadion;Vasas-Casino Vigadó;Parmalat FC;1.0;0.0;6000.0
1994-1995;26.0;1995.05.20;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Debreceni Vasutas SC;1.0;1.0;7500.0
1994-1995;26.0;1995.05.20;17:00;Stadler Stadion;Stadler FC;Csepel-Kordax;0.0;0.0;1500.0
1994-1995;26.0;1995.05.20;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;Kispest-Honvéd FC;3.0;3.0;6000.0
1994-1995;26.0;1995.05.20;19:00;ZTE Stadion;Zalaegerszegi TE;Vác FC-Samsung;4.0;2.0;6000.0
1994-1995;26.0;1995.05.20;19:00;Üllői úti Stadion;Ferencvárosi TC;Vasas-Casino Vigadó;1.0;1.0;7000.0
1994-1995;26.0;1995.05.20;19:00;Megyeri úti Stadion;Újpesti TE-Novabau;Győri FC;3.0;1.0;3500.0
1994-1995;26.0;1995.05.20;19:00;Sóstói Stadion;Parmalat FC;Pécsi MSC-Fordan;1.0;1.0;3000.0
1994-1995;26.0;1995.05.21;17:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Nagykanizsai Olajbányász SE;1.0;0.0;1500.0
1994-1995;25.0;1995.05.13;17:00;Stadler Stadion;Stadler FC;Vác FC-Samsung;2.0;2.0;2500.0
1994-1995;25.0;1995.05.13;17:00;PMSC Stadion;Pécsi MSC-Fordan;Ferencvárosi TC;1.0;2.0;10000.0
1994-1995;25.0;1995.05.13;17:00;Olajbányász Sporttelep;Nagykanizsai Olajbányász SE;Zalaegerszegi TE;1.0;1.0;10000.0
1994-1995;25.0;1995.05.13;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Újpesti TE-Novabau;1.0;0.0;8000.0
1994-1995;25.0;1995.05.13;19:00;Béke téri Stadion;Csepel-Kordax;Parmalat FC;1.0;0.0;1000.0
1994-1995;25.0;1995.05.13;19:00;Bozsik Stadion;Kispest-Honvéd FC;Budapesti VSC-Dreher;2.0;0.0;3000.0
1994-1995;25.0;1995.05.13;19:00;Fáy utcai Stadion;Vasas-Casino Vigadó;EMDSZ-Soproni LC;2.0;1.0;3000.0
1994-1995;25.0;1995.05.15;19:00;Győri ETO Stadion;Győri FC;Békéscsabai Előre FC;2.0;2.0;3000.0
1994-1995;24.0;1995.05.10;16:30;Szőnyi úti Stadion;Budapesti VSC-Dreher;Győri FC;1.0;1.0;1000.0
1994-1995;24.0;1995.05.10;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;Újpesti TE-Novabau;0.0;0.0;7000.0
1994-1995;24.0;1995.05.10;17:00;Stadler Stadion;Stadler FC;Nagykanizsai Olajbányász SE;0.0;0.0;3000.0
1994-1995;24.0;1995.05.10;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Pécsi MSC-Fordan;0.0;0.0;6000.0
1994-1995;24.0;1995.05.10;18:00;Üllői úti Stadion;Ferencvárosi TC;Csepel-Kordax;1.0;0.0;8000.0
1994-1995;24.0;1995.05.10;19:00;Sóstói Stadion;Parmalat FC;Vác FC-Samsung;6.0;3.0;4000.0
1994-1995;24.0;1995.05.10;19:00;Fáy utcai Stadion;Vasas-Casino Vigadó;Debreceni Vasutas SC;1.0;1.0;4000.0
1994-1995;24.0;1995.05.10;19:00;ZTE Stadion;Zalaegerszegi TE;Kispest-Honvéd FC;2.0;2.0;14000.0
1994-1995;23.0;1995.05.06;17:00;PMSC Stadion;Pécsi MSC-Fordan;Vasas-Casino Vigadó;1.0;2.0;4500.0
